กลิ่น (scent),ขนาด (size),เกรด (grade),SKU,Barcode
1000 Thousand,10 ml.,EDP,THD-10 ml,8857128012051
1000 Thousand,30 ml.,EDP,THD-30 ml,8857128012050
1000 Thousand,4 ml.,EDP,THD-4 ml,8857128012052
1000 Thousand,50 ml.,EDP,THD-50 ml,8857128011188
1000 Thousand TRY ME!,30 ml.,EDP,THM-30 ml,THM30
1000 Thousand TRY ME!,50 ml.,EDP,THM-50 ml,THM50
Amber Silky,50 ml,EDP,,8857128011195
Amber Spangle,10 ml.,EDP+,ASM-10 ml,8857128012151
Amber Spangle,30 ml.,EDP+,ASE-30 ml,8857128012004
Amber Spangle,4 ml,EDP+,,8857128012152
Amber Spangle,50 ml.,EDP+,ASE-50 ml,8857128011652
Amber Spangle TRY ME!,30 ml.,EDP+,ASM-30 ml,ASM30
Amber Spangle TRY ME!,50 ml.,EDP+,ASM-50 ml,ASM50
Angel,10 ml.,EDP,AGM-10ml,8857128012166
Angel,30 ml.,EDP,AGM-30ml,8857128012165
Angel,4 ml.,EDP,AGM-4ml,8857128012167
Angel,50 ml.,EDP,AGM-50ml,8857128011577
Angel TRY ME!,50 ml.,EDP,AGT-50ml,AGM50
Apple Cinnamon,50 ml,EDP,,8857128011768
Aqua,10 ml.,EDP,AQA-10 ml,8857128012026
Aqua,30 ml.,EDP,AQA-30 ml,8857128012022
Aqua,4 ml.,EDP,AQA-4 ml,8857128012044
Aqua,50 ml.,EDP,AQA-50 ml,8857128012018
Aqua TRY ME!,30 ml.,EDP,AQM-30 ml,AQM30
Aqua TRY ME!,50 ml.,EDP,AQM-50 ml,AQM50
Argentum,10 ml,EDP,ARM-10 ml,8857128012136
Argentum,30 ml,EDP,ARM-30 ml,8857128012135
Argentum,4 ml,EDP,ARM-4 ml,8857128012137
Argentum,50 ml.,EDP,ARM-50 ml,8857128011232
Argentum TRY ME!,30 ml.,EDP,AMM-30 ml,AMM30
Argentum TRY ME!,50 ml.,EDP,AMM-50 ml,AMM50
Atlantis,30 ml.,EDP,ATS-30 ml,8857128011928
Atlantis,50 ml.,EDP,ATS-50 ml,8857128011416
Atlantis TRY ME!,30 ml.,EDP,ATM-30 ml,ATM30
Atlantis TRY ME!,50 ml.,EDP,ATM-50 ml,ATM50
Beyond,10 ml.,EDP,BED-10 ml,8857128012032
Beyond,30 ml.,EDP,BED-30 ml,8857128012031
Beyond,4 ml.,EDP,BED-4 ml,8857128012033
Beyond,50 ml.,EDP,BED-50 ml,8857128011072
Beyond TRY ME!,30 ml.,EDP,BYM-30 ml,BYM30
Beyond TRY ME!,50 ml.,EDP,BYM-50 ml,BYM50
Blackest Black,10 ml.,EDP+,BBK-10 ml,8857128012101
Blackest Black,30 ml.,EDP+,BBK-30 ml,8857128012005
Blackest Black,4 ml.,EDP+,BBK-4 ml,8857128012102
Blackest Black,50 ml.,EDP+,BBK-50 ml,8857128011669
Blackest Black TRY ME!,30 ml.,EDP+,BBM-30 ml,BBM30
Blackest Black TRY ME!,50 ml.,EDP+,BBM-50 ml,BBM50
Blind Magnolia,10 ml.,EDP,BMA-10 ml,8857128012065
Blind Magnolia,30 ml.,EDP,BMA-30 ml,8857128012064
Blind Magnolia,4 ml.,EDP,BMA-4 ml,8857128012066
Blind Magnolia,50 ml.,EDP,BMA-50 ml,8857128011225
Blind Magnolia TRY ME!,30 ml.,EDP,BMM-30 ml,BMM30
